index,subj_idx,stim,movie,rt,response,run,accuracy
1154,167238,Random,TENNIS-A.AVI,0.839,0,1,1.0
1155,131419,Mental,COAXING-B.AVI,1.338,1,0,1.0
1156,131419,Random,BILLIARD-A.AVI,2.009,0,0,1.0
1157,131419,Random,DRIFTING-A.AVI,1.69,0,0,1.0
1158,131419,Mental,Fishing.AVI,2.077,1,0,1.0
1159,131419,Random,Random mechanical.AVI,1.893,0,0,1.0
1160,174437,Mental,COAXING-B.AVI,0.628,1,0,1.0
1161,174437,Random,BILLIARD-A.AVI,0.801,0,0,1.0
1162,174437,Random,DRIFTING-A.AVI,0.769,0,0,1.0
1163,174437,Mental,Fishing.AVI,1.77,1,0,1.0
1164,174437,Random,Random mechanical.AVI,2.49,9,0,9.0
1165,513130,Mental,Scaring.AVI,0.785,1,1,1.0
1166,513130,Mental,SEDUCING-B.AVI,0.468,1,1,1.0
1167,513130,Random,STAR-A.AVI,1.083,0,1,1.0
1168,513130,Mental,SURPRISING-B.AVI,1.046,1,1,1.0
1169,513130,Random,TENNIS-A.AVI,1.51,0,1,1.0
1170,581349,Mental,Scaring.AVI,1.139,0,1,0.0
1171,581349,Mental,SEDUCING-B.AVI,0.866,0,1,0.0
1172,581349,Random,STAR-A.AVI,1.317,9,1,9.0
1173,581349,Mental,SURPRISING-B.AVI,0.803,1,1,1.0
1174,581349,Random,TENNIS-A.AVI,1.844,0,1,1.0
1175,202719,Mental,Scaring.AVI,1.017,1,1,1.0
1176,202719,Mental,SEDUCING-B.AVI,0.707,1,1,1.0
1177,202719,Random,STAR-A.AVI,0.625,0,1,1.0
1178,202719,Mental,SURPRISING-B.AVI,0.685,1,1,1.0
1179,202719,Random,TENNIS-A.AVI,1.065,9,1,9.0
1180,193239,Mental,COAXING-B.AVI,1.052,1,0,1.0
1181,193239,Random,BILLIARD-A.AVI,2.748,0,0,1.0
1182,193239,Random,DRIFTING-A.AVI,1.163,0,0,1.0
1183,193239,Mental,Fishing.AVI,0.747,1,0,1.0
1184,193239,Random,Random mechanical.AVI,0.762,0,0,1.0
1195,520228,Mental,COAXING-B.AVI,2.44,1,0,1.0
1196,520228,Random,BILLIARD-A.AVI,1.098,0,0,1.0
1197,520228,Random,DRIFTING-A.AVI,0.854,0,0,1.0
1198,520228,Mental,Fishing.AVI,2.683,9,0,9.0
1199,520228,Random,Random mechanical.AVI,1.071,1,0,0.0
1200,236130,Mental,Scaring.AVI,0.639,1,1,1.0
