,d,beta,c,Ad
153126,0.3141299994428993,0.7024121322144126,-1.1244865658231507,0.5878911094088284
153227,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
153429,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
153631,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
153732,1.5348986686804,2.2014028808289994,0.5141022312044004,0.8611138448309655
153833,2.117770946477709,0.8239053639971495,-0.09146390713715341,0.932867122803402
154229,2.5631031310892007,1.0,-0.0,0.9650368366397468
154330,2.5631031310892007,1.0,-0.0,0.9650368366397468
154431,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
154734,2.5631031310892007,1.0,-0.0,0.9650368366397468
154835,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
155231,2.5631031310892007,1.0,-0.0,0.9650368366397468
155635,2.5631031310892007,1.0,-0.0,0.9650368366397468
155938,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
156031,2.5631031310892007,1.0,-0.0,0.9650368366397468
156233,1.5348986686804,2.2014028808289994,0.5141022312044004,0.8611138448309655
156334,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
156435,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
156536,2.5631031310892007,1.0,-0.0,0.9650368366397468
156627,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
157336,2.5631031310892007,1.0,-0.0,0.9650368366397468
157437,2.4319009459206082,1.172965736511013,0.06560109258429625,0.9572486533586757
157942,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
158035,2.5631031310892007,1.0,-0.0,0.9650368366397468
158136,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
158338,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
158540,2.5631031310892007,1.0,-0.0,0.9650368366397468
159138,2.5631031310892007,1.0,-0.0,0.9650368366397468
159239,1.956041315740682,0.5522695724550625,-0.30353090767425933,0.916687507820483
159340,2.5631031310892007,1.0,-0.0,0.9650368366397468
159441,2.1231727991175147,0.6268650096300457,-0.2199651659858431,0.933362285134116
159744,2.5631031310892007,1.0,-0.0,0.9650368366397468
159946,2.5631031310892007,1.0,-0.0,0.9650368366397468
160729,2.1231727991175147,1.595239779917156,0.21996516598584304,0.933362285134116
160830,2.5631031310892007,1.0,-0.0,0.9650368366397468
161327,2.5631031310892007,1.0,-0.0,0.9650368366397468
161630,2.5631031310892007,1.0,-0.0,0.9650368366397468
161731,2.5631031310892007,1.0,-0.0,0.9650368366397468
161832,2.2489731316463013,0.7024121322144126,-0.15706499972144966,0.9441123622812186
162026,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
162228,2.4319009459206082,0.85253982181483,-0.06560109258429625,0.9572486533586757
