subj_idx,medianRT_Mental,medianRT_Random,medianMental-medianRandom
114823,0.859,1.552,-0.6930000000000001
115217,0.698,0.8925,-0.1945
115825,0.867,1.026,-0.15900000000000003
116221,1.347,1.113,0.23399999999999999
116726,0.68,1.23,-0.5499999999999999
117021,1.145,0.839,0.30600000000000005
117324,0.712,0.984,-0.272
117930,0.988,0.996,-0.008000000000000007
118023,0.997,0.881,0.11599999999999999
118124,0.9715,1.69,-0.7184999999999999
118225,0.992,1.078,-0.08600000000000008
118528,0.856,1.2374999999999998,-0.38149999999999984
118831,1.047,0.6575,0.38949999999999996
118932,0.72,0.841,-0.121
119025,0.744,1.287,-0.5429999999999999
119732,0.755,1.316,-0.561
120111,1.197,1.356,-0.15900000000000003
120212,0.792,0.658,0.134
120515,0.678,0.955,-0.2769999999999999
120717,0.893,0.659,0.23399999999999999
121921,1.04,1.0005,0.03950000000000009
122317,1.319,1.157,0.16199999999999992
122418,0.786,0.792,-0.006000000000000005
122822,0.905,0.833,0.07200000000000006
123117,0.517,0.702,-0.18499999999999994
123521,0.669,1.594,-0.925
124220,0.784,0.828,-0.04399999999999993
124422,0.807,0.563,0.2440000000000001
124826,1.455,1.696,-0.24099999999999988
125222,0.998,0.796,0.20199999999999996
126325,0.9184999999999999,0.74,0.17849999999999988
126426,0.683,0.738,-0.05499999999999994
127226,0.885,0.605,0.28
127327,0.715,0.751,-0.03600000000000003
127630,0.954,0.9,0.05399999999999994
127731,0.897,1.04,-0.14300000000000002
127933,0.84,1.172,-0.33199999999999996
128026,1.092,0.801,0.29100000000000004
128127,0.792,0.715,0.07700000000000007
128632,0.893,1.222,-0.32899999999999996
128935,2.211,1.229,0.9819999999999998
129028,0.945,1.586,-0.6410000000000001
129129,1.472,0.508,0.964
129331,0.839,0.719,0.12
129937,0.844,0.725,0.119
130013,1.043,0.802,0.24099999999999988
130114,0.9,0.881,0.019000000000000017
130316,1.004,1.19,-0.18599999999999994
130417,0.859,0.9610000000000001,-0.10200000000000009
130518,1.0,0.985,0.015000000000000013
131217,0.853,1.024,-0.17100000000000004
131419,1.338,1.7915,-0.4535
131722,1.015,1.3864999999999998,-0.37149999999999994
131924,0.772,0.622,0.15000000000000002
132017,1.178,1.128,0.050000000000000044
133019,1.1305,0.702,0.4285000000000001
133625,0.847,0.7255,0.12149999999999994
133928,0.723,0.979,-0.256
134223,1.291,1.743,-0.4520000000000002
134425,1.14,0.84,0.29999999999999993
134627,1.419,1.0045,0.4145000000000001
134829,0.932,0.663,0.269
135124,0.677,0.753,-0.07599999999999996
135528,0.763,0.796,-0.03300000000000003
135629,1.13,0.8845000000000001,0.24549999999999983
135730,0.762,1.0385,-0.27649999999999997
135932,1.2710000000000001,0.59,0.6810000000000002
136126,1.294,1.6605,-0.36650000000000005
136227,1.486,1.3295,0.15650000000000008
136631,0.632,0.804,-0.17200000000000004
136732,0.97,0.665,0.30499999999999994
136833,0.884,0.752,0.132
137027,0.908,1.783,-0.8749999999999999
137128,0.635,0.627,0.008000000000000007
137229,0.832,0.939,-0.10699999999999998
137431,0.902,1.383,-0.481
137633,1.087,0.819,0.268
138130,1.01,0.99,0.020000000000000018
138231,0.8195,1.101,-0.2815
139233,0.749,0.926,-0.17700000000000005
139435,0.822,0.566,0.256
139839,0.668,0.778,-0.10999999999999999
140117,0.631,1.005,-0.3739999999999999
140420,0.9235,0.756,0.16749999999999998
141119,0.541,0.849,-0.30799999999999994
141422,0.739,0.829,-0.08999999999999997
142828,1.258,1.453,-0.19500000000000006
143224,0.908,1.3355000000000001,-0.4275000000000001
143325,1.171,1.204,-0.03299999999999992
143426,0.899,0.9910000000000001,-0.09200000000000008
143830,0.658,0.5265,0.13150000000000006
144125,1.8635000000000002,0.774,1.0895000000000001
144226,0.777,0.6765000000000001,0.10049999999999992
144428,0.972,0.719,0.253
144832,0.904,0.733,0.17100000000000004
144933,1.559,1.73,-0.17100000000000004
145127,0.904,0.9510000000000001,-0.04700000000000004
145632,0.968,0.9075,0.0605
145834,0.7575000000000001,0.642,0.11550000000000005
146129,1.238,1.129,0.10899999999999999
146331,1.002,1.561,-0.5589999999999999
146432,0.685,0.866,-0.18099999999999994
146533,0.811,0.573,0.2380000000000001
146634,0.95,1.073,-0.123
146735,0.547,0.687,-0.14
146937,0.967,0.718,0.249
147030,0.764,0.714,0.050000000000000044
147636,0.8109999999999999,1.338,-0.5270000000000001
147737,0.799,0.7344999999999999,0.06450000000000011
148032,1.033,1.0385,-0.00550000000000006
148133,1.228,0.862,0.366
148335,0.7395,1.304,-0.5645
148436,1.083,1.17,-0.08699999999999997
148636,0.941,1.23,-0.28900000000000003
148941,0.959,1.161,-0.20200000000000007
149236,0.789,0.974,-0.18499999999999994
149741,1.04,0.949,0.09100000000000008
149842,1.023,0.832,0.19099999999999995
150423,0.763,0.593,0.17000000000000004
150625,1.034,1.95,-0.9159999999999999
150928,0.858,0.848,0.010000000000000009
151021,0.665,0.725,-0.05999999999999994
151223,0.847,0.889,-0.04200000000000004
151324,0.677,0.747,-0.06999999999999995
151425,0.688,0.794,-0.1060000000000001
151627,0.565,0.9175,-0.35250000000000004
151728,0.564,1.264,-0.7000000000000001
151829,0.875,0.804,0.07099999999999995
152225,1.071,1.396,-0.32499999999999996
152427,0.87,0.887,-0.017000000000000015
152831,1.221,0.637,0.5840000000000001
153025,0.802,0.577,0.2250000000000001
153126,0.859,0.772,0.08699999999999997
153227,0.802,0.927,-0.125
153429,1.353,0.807,0.5459999999999999
153631,0.679,0.8340000000000001,-0.15500000000000003
153732,0.664,0.798,-0.134
153833,0.613,0.515,0.09799999999999998
154229,1.779,1.367,0.4119999999999999
154330,0.602,0.444,0.15799999999999997
154431,0.842,0.76,0.08199999999999996
154734,1.175,0.999,0.17600000000000005
154835,1.017,0.64,0.3769999999999999
155231,0.766,0.909,-0.14300000000000002
155635,0.635,0.64,-0.0050000000000000044
155938,0.923,0.78,0.14300000000000002
156031,1.038,0.886,0.15200000000000002
156233,0.937,0.913,0.02400000000000002
156334,0.662,0.5705,0.09150000000000003
156435,0.66,0.6605,-0.0004999999999999449
156536,0.533,0.486,0.04700000000000004
156627,1.433,1.017,0.41600000000000015
157336,0.681,0.672,0.009000000000000008
157437,0.815,0.831,-0.016000000000000014
157942,0.577,0.805,-0.2280000000000001
158035,0.674,0.688,-0.013999999999999901
158136,0.837,0.7444999999999999,0.09250000000000003
158338,0.792,1.2429999999999999,-0.45099999999999985
158540,1.022,0.797,0.22499999999999998
159138,0.724,1.269,-0.5449999999999999
159239,0.741,0.689,0.052000000000000046
159340,0.687,0.717,-0.029999999999999916
159441,0.714,1.241,-0.5270000000000001
159744,0.781,0.62,0.16100000000000003
159946,0.615,0.564,0.051000000000000045
160729,0.722,0.608,0.11399999999999999
160830,1.182,1.245,-0.06300000000000017
161327,0.499,0.49,0.009000000000000008
161630,0.937,0.972,-0.03499999999999992
161731,0.791,0.741,0.050000000000000044
161832,1.107,1.15,-0.04299999999999993
162026,0.693,0.8619999999999999,-0.16899999999999993
162228,1.182,1.194,-0.01200000000000001
162329,0.696,0.73,-0.03400000000000003
162733,1.3610000000000002,1.216,0.14500000000000024
162935,0.901,0.82,0.08100000000000007
163129,0.82,0.656,0.16399999999999992
163432,0.782,0.832,-0.04999999999999993
163836,1.1044999999999998,1.904,-0.7995000000000001
164030,1.028,1.085,-0.05699999999999994
164131,1.007,1.052,-0.04500000000000015
164939,1.047,0.8265,0.22049999999999992
165032,0.39949999999999997,0.701,-0.3015
165436,0.494,0.512,-0.018000000000000016
165638,1.54,0.96,0.5800000000000001
165840,0.648,1.049,-0.4009999999999999
165941,0.584,0.8035000000000001,-0.21950000000000014
