subj_idx,stim,movie,rt,response,run,accuracy,logRT
412528,Mental,SURPRISING-B.AVI,0.66,1,1,1.0,-0.4155154439616658
412528,Random,TENNIS-A.AVI,0.891,0,1,1.0,-0.11541085151132773
249947,Mental,Scaring.AVI,2.37,1,1,1.0,0.8628899551470398
249947,Mental,SEDUCING-B.AVI,0.758,1,1,1.0,-0.2770718933397654
249947,Random,STAR-A.AVI,0.466,0,1,1.0,-0.7635696448564911
249947,Mental,SURPRISING-B.AVI,0.686,1,1,1.0,-0.3768776512562517
249947,Random,TENNIS-A.AVI,0.61,0,1,1.0,-0.4942963218147801
387959,Mental,Scaring.AVI,1.806,1,1,1.0,0.5911144549947938
387959,Mental,SEDUCING-B.AVI,0.332,1,1,1.0,-1.1026203100656484
387959,Random,STAR-A.AVI,0.738,0,1,1.0,-0.30381145438166457
387959,Mental,SURPRISING-B.AVI,0.876,1,1,1.0,-0.13238918804574562
169040,Mental,COAXING-B.AVI,2.793,1,0,1.0,1.0271162869630397
169040,Random,BILLIARD-A.AVI,0.709,0,0,1.0,-0.3438997524500096
169040,Random,DRIFTING-A.AVI,0.587,0,0,1.0,-0.5327304591540407
169040,Mental,Fishing.AVI,0.799,1,0,1.0,-0.22439433321586233
378756,Mental,Scaring.AVI,0.788,1,1,1.0,-0.2382571891242579
378756,Mental,SEDUCING-B.AVI,0.574,1,1,1.0,-0.5551258826625707
378756,Random,STAR-A.AVI,0.968,0,1,1.0,-0.03252319170556006
378756,Mental,SURPRISING-B.AVI,0.564,1,1,1.0,-0.5727010274840783
378756,Random,TENNIS-A.AVI,0.916,0,1,1.0,-0.08773891430800675
157942,Mental,Scaring.AVI,0.487,1,1,1.0,-0.7194911558995473
157942,Mental,SEDUCING-B.AVI,0.559,1,1,1.0,-0.5816058058270378
157942,Random,STAR-A.AVI,0.314,0,1,1.0,-1.1583622930738837
157942,Mental,SURPRISING-B.AVI,0.577,1,1,1.0,-0.5499130124740376
561949,Mental,COAXING-B.AVI,1.586,1,0,1.0,0.4612151232126563
