subj_idx,medianRT_NonSoc(No),medianRT_Soc(Yes),medianYes-medianNo
163836,1.904,1.1044999999999998,-0.7995000000000001
164030,1.085,1.028,-0.05699999999999994
164131,1.0665,0.7979999999999999,-0.26850000000000007
164939,0.8265,1.047,0.22049999999999992
165032,0.5355,0.475,-0.0605
165436,0.512,0.494,-0.018000000000000016
165638,0.96,1.54,0.5800000000000001
165840,1.049,0.648,-0.4009999999999999
165941,0.8035000000000001,0.584,-0.21950000000000014
166438,0.722,0.731,0.009000000000000008
167036,1.052,1.061,0.008999999999999897
167238,0.788,0.713,-0.07500000000000007
167743,1.261,1.1395,-0.12149999999999994
168240,0.496,0.827,0.33099999999999996
168745,1.232,1.082,-0.1499999999999999
168947,0.792,0.813,0.020999999999999908
169040,0.6479999999999999,0.819,0.17100000000000004
169343,1.167,0.6485000000000001,-0.5185
169444,1.07,1.207,0.137
169545,0.63,0.922,0.29200000000000004
169747,1.24,0.831,-0.40900000000000003
169949,0.845,0.823,-0.02200000000000002
170631,1.108,1.391,0.2829999999999999
170934,1.149,0.506,-0.643
171532,0.756,1.1429999999999998,0.3869999999999998
171633,0.788,0.724,-0.06400000000000006
171734,0.615,0.677,0.062000000000000055
172130,1.808,1.098,-0.71
172332,0.98,0.987,0.007000000000000006
172433,1.516,1.466,-0.050000000000000044
172534,0.855,0.7705,-0.08450000000000002
172635,1.048,1.036,-0.01200000000000001
173435,0.9179999999999999,0.91,-0.007999999999999896
173536,0.8085,0.636,-0.1725
173637,1.77,0.632,-1.138
173839,1.0715,0.886,-0.1854999999999999
173940,1.542,0.958,-0.5840000000000001
174437,0.785,0.736,-0.049000000000000044
174841,1.395,1.134,-0.2610000000000001
175136,0.893,0.767,-0.126
175237,0.841,0.813,-0.028000000000000025
175742,0.8240000000000001,0.871,0.04699999999999993
176037,1.5205000000000002,0.8945,-0.6260000000000002
176239,0.853,1.108,0.2550000000000001
176441,0.334,0.608,0.27399999999999997
176542,0.986,1.108,0.12200000000000011
176744,0.894,0.887,-0.007000000000000006
176845,0.724,0.833,0.10899999999999999
177140,0.798,1.082,0.28400000000000003
177241,0.94,1.017,0.07699999999999996
177645,0.759,0.865,0.10599999999999998
177746,1.181,0.884,-0.29700000000000004
178142,1.145,1.085,-0.06000000000000005
178243,1.1975,0.9165,-0.281
178647,0.791,0.71,-0.08100000000000007
178748,1.415,1.667,0.252
178849,0.9219999999999999,1.0975,0.1755
178950,0.788,0.858,0.06999999999999995
179245,1.7595,2.009,0.24949999999999983
179548,0.733,0.7965,0.0635
180129,1.007,0.918,-0.08899999999999986
180230,1.6385,0.937,-0.7015
180432,0.67,0.7295,0.0595
180533,1.209,0.824,-0.3850000000000001
180735,1.7719999999999998,1.422,-0.34999999999999987
180836,0.627,0.9245,0.2975
180937,0.854,0.541,-0.31299999999999994
182032,0.888,0.865,-0.02300000000000002
182436,0.596,0.724,0.128
182739,1.285,0.893,-0.3919999999999999
183034,1.598,0.751,-0.8470000000000001
183741,0.5369999999999999,0.776,0.2390000000000001
185038,0.786,1.174,0.3879999999999999
185341,1.472,0.911,-0.5609999999999999
185442,0.577,0.558,-0.018999999999999906
185947,0.5740000000000001,0.766,0.19199999999999995
186040,0.717,1.062,0.3450000000000001
186141,1.1039999999999999,0.735,-0.3689999999999999
186444,1.3195000000000001,1.167,-0.15250000000000008
186949,1.3375,0.6555,-0.6819999999999999
187143,1.0205,1.228,0.20750000000000002
187547,0.6825,0.631,-0.05149999999999999
187850,0.81,0.7825,-0.02750000000000008
188347,1.25,1.403,0.15300000000000002
188448,1.026,1.025,-0.001000000000000112
188549,0.749,0.828,0.07899999999999996
188751,0.704,0.708,0.0040000000000000036
189450,0.641,0.8825000000000001,0.24150000000000005
189652,2.798,1.149,-1.649
191033,0.859,1.058,0.19900000000000007
191336,0.935,1.108,0.17300000000000004
191437,0.964,0.911,-0.052999999999999936
191942,0.91,1.046,0.136
192035,0.532,1.6225,1.0905
192237,0.9215,0.75,-0.17149999999999999
192540,1.066,0.911,-0.15500000000000003
192641,0.575,0.812,0.2370000000000001
192843,0.848,1.034,0.18600000000000005
193239,1.163,0.701,-0.4620000000000001
193845,0.537,0.777,0.24
194140,1.4525,0.79,-0.6624999999999999
194443,0.8500000000000001,0.844,-0.006000000000000116
194645,0.6375,0.9199999999999999,0.2825
194746,0.5315000000000001,0.959,0.4274999999999999
194847,0.702,0.72,0.018000000000000016
195041,0.632,0.757,0.125
195647,1.881,1.536,-0.345
195849,2.092,1.349,-0.7430000000000001
196144,1.2570000000000001,1.67,0.4129999999999998
196346,0.5945,0.662,0.0675
196750,0.7575000000000001,1.294,0.5365
196851,1.053,0.824,-0.22899999999999998
196952,0.687,0.654,-0.03300000000000003
