subj_idx,stim,movie,rt,response
665254,Random,BILLIARD-A.AVI,0.725,0
665254,Random,DRIFTING-A.AVI,0.528,0
665254,Mental,Fishing.AVI,0.548,1
665254,Random,Random mechanical.AVI,0.511,9
185947,Mental,Scaring.AVI,0.766,1
185947,Mental,SEDUCING-B.AVI,0.367,1
185947,Random,STAR-A.AVI,0.357,0
185947,Mental,SURPRISING-B.AVI,0.984,1
185947,Random,TENNIS-A.AVI,0.667,0
221319,Mental,COAXING-B.AVI,1.873,1
221319,Random,DRIFTING-A.AVI,1.527,0
221319,Mental,Fishing.AVI,2.904,9
992774,Mental,COAXING-B.AVI,0.616,1
992774,Random,BILLIARD-A.AVI,1.752,9
992774,Random,DRIFTING-A.AVI,0.464,0
992774,Mental,Fishing.AVI,0.56,1
992774,Random,Random mechanical.AVI,0.562,0
189450,Mental,COAXING-B.AVI,1.705,1
189450,Random,BILLIARD-A.AVI,0.991,0
189450,Random,DRIFTING-A.AVI,0.668,0
189450,Mental,Fishing.AVI,0.614,0
189450,Random,Random mechanical.AVI,0.588,0
145834,Mental,Scaring.AVI,0.718,1
145834,Mental,SEDUCING-B.AVI,0.579,1
145834,Random,STAR-A.AVI,0.334,0
145834,Mental,SURPRISING-B.AVI,0.797,1
145834,Random,TENNIS-A.AVI,1.014,0
121921,Mental,COAXING-B.AVI,1.351,1
121921,Random,BILLIARD-A.AVI,0.623,0
121921,Random,DRIFTING-A.AVI,1.378,0
121921,Mental,Fishing.AVI,1.543,1
121921,Random,Random mechanical.AVI,1.856,0
299760,Mental,Scaring.AVI,1.087,1
299760,Mental,SEDUCING-B.AVI,0.965,1
299760,Random,STAR-A.AVI,0.97,0
299760,Mental,SURPRISING-B.AVI,1.186,1
299760,Random,TENNIS-A.AVI,1.197,0
991267,Mental,Scaring.AVI,1.063,1
991267,Mental,SEDUCING-B.AVI,0.567,1
991267,Random,STAR-A.AVI,0.388,0
991267,Mental,SURPRISING-B.AVI,0.626,1
991267,Random,TENNIS-A.AVI,0.594,9
156233,Mental,Scaring.AVI,0.937,0
156233,Mental,SEDUCING-B.AVI,0.882,1
156233,Random,STAR-A.AVI,0.761,0
156233,Mental,SURPRISING-B.AVI,0.631,1
156233,Random,TENNIS-A.AVI,0.913,0
174841,Mental,COAXING-B.AVI,1.386,1
174841,Random,BILLIARD-A.AVI,2.253,0
174841,Random,DRIFTING-A.AVI,2.546,0
174841,Mental,Fishing.AVI,1.113,1
174841,Random,Random mechanical.AVI,1.395,0
492754,Mental,Scaring.AVI,2.027,1
492754,Mental,SEDUCING-B.AVI,2.19,1
492754,Random,STAR-A.AVI,1.25,0
492754,Mental,SURPRISING-B.AVI,1.567,1
492754,Random,TENNIS-A.AVI,1.581,0
152225,Mental,COAXING-B.AVI,0.968,1
152225,Random,BILLIARD-A.AVI,0.972,0
152225,Random,DRIFTING-A.AVI,1.396,0
152225,Mental,Fishing.AVI,1.346,1
152225,Random,Random mechanical.AVI,2.073,0
152831,Mental,Scaring.AVI,1.123,1
152831,Mental,SEDUCING-B.AVI,0.833,1
152831,Random,STAR-A.AVI,0.637,0
152831,Mental,SURPRISING-B.AVI,2.145,1
152831,Random,TENNIS-A.AVI,0.63,0
176542,Mental,COAXING-B.AVI,1.16,1
176542,Random,BILLIARD-A.AVI,1.422,0
176542,Random,DRIFTING-A.AVI,0.986,0
176542,Mental,Fishing.AVI,1.025,9
176542,Random,Random mechanical.AVI,0.984,0
720337,Mental,COAXING-B.AVI,1.534,1
720337,Random,BILLIARD-A.AVI,1.264,0
720337,Random,DRIFTING-A.AVI,1.576,0
720337,Mental,Fishing.AVI,1.092,1
720337,Random,Random mechanical.AVI,2.387,9
622236,Mental,COAXING-B.AVI,0.931,1
622236,Random,BILLIARD-A.AVI,0.684,0
622236,Random,DRIFTING-A.AVI,0.815,0
622236,Mental,Fishing.AVI,0.74,1
622236,Random,Random mechanical.AVI,0.887,0
715041,Mental,Scaring.AVI,0.923,0
715041,Mental,SEDUCING-B.AVI,0.895,1
715041,Random,STAR-A.AVI,1.529,1
715041,Mental,SURPRISING-B.AVI,1.144,1
715041,Random,TENNIS-A.AVI,1.11,0
586460,Mental,COAXING-B.AVI,1.348,1
586460,Random,BILLIARD-A.AVI,2.091,0
586460,Random,DRIFTING-A.AVI,1.613,0
586460,Mental,Fishing.AVI,0.866,1
586460,Random,Random mechanical.AVI,2.174,0
102513,Mental,Scaring.AVI,1.909,1
102513,Mental,SEDUCING-B.AVI,0.914,1
102513,Random,STAR-A.AVI,1.166,1
102513,Mental,SURPRISING-B.AVI,0.886,1
102513,Random,TENNIS-A.AVI,0.885,1
882161,Mental,COAXING-B.AVI,2.193,1
882161,Random,BILLIARD-A.AVI,1.964,0
882161,Random,DRIFTING-A.AVI,2.585,9
882161,Mental,Fishing.AVI,1.046,1
882161,Random,Random mechanical.AVI,0.957,9
111009,Mental,Scaring.AVI,1.678,1
111009,Mental,SEDUCING-B.AVI,0.719,1
111009,Random,STAR-A.AVI,1.118,0
111009,Mental,SURPRISING-B.AVI,1.049,1
111009,Random,TENNIS-A.AVI,0.907,0
952863,Mental,COAXING-B.AVI,1.039,1
952863,Random,BILLIARD-A.AVI,0.421,0
952863,Random,DRIFTING-A.AVI,0.517,0
952863,Mental,Fishing.AVI,1.416,1
952863,Random,Random mechanical.AVI,0.706,0
140319,Mental,Scaring.AVI,0.999,1
140319,Mental,SEDUCING-B.AVI,0.752,1
140319,Random,STAR-A.AVI,0.715,0
140319,Mental,SURPRISING-B.AVI,0.88,1
140319,Random,TENNIS-A.AVI,0.713,0
105923,Random,BILLIARD-A.AVI,2.645,0
105923,Mental,Fishing.AVI,0.845,1
105923,Random,Random mechanical.AVI,1.624,9
108525,Mental,Fishing.AVI,0.972,9
671855,Mental,Scaring.AVI,1.078,1
671855,Mental,SEDUCING-B.AVI,0.617,1
671855,Random,STAR-A.AVI,0.919,0
671855,Mental,SURPRISING-B.AVI,0.703,1
671855,Random,TENNIS-A.AVI,0.817,0
191235,Mental,COAXING-B.AVI,1.22,1
191235,Random,DRIFTING-A.AVI,2.287,0
191235,Mental,Fishing.AVI,2.575,1
191235,Random,Random mechanical.AVI,0.965,1
200109,Mental,Scaring.AVI,1.716,9
200109,Mental,SEDUCING-B.AVI,0.564,1
200109,Random,STAR-A.AVI,0.53,0
200109,Mental,SURPRISING-B.AVI,0.607,1
200109,Random,TENNIS-A.AVI,0.574,0
644044,Mental,Scaring.AVI,2.112,1
644044,Mental,SEDUCING-B.AVI,0.76,1
644044,Random,STAR-A.AVI,1.13,0
644044,Mental,SURPRISING-B.AVI,0.971,9
644044,Random,TENNIS-A.AVI,1.253,0
106319,Mental,COAXING-B.AVI,1.976,1
106319,Random,BILLIARD-A.AVI,2.133,0
106319,Random,DRIFTING-A.AVI,1.249,0
106319,Mental,Fishing.AVI,1.301,1
106319,Random,Random mechanical.AVI,1.452,0
723141,Mental,Scaring.AVI,0.685,1
723141,Mental,SEDUCING-B.AVI,0.841,1
723141,Random,STAR-A.AVI,0.957,0
723141,Mental,SURPRISING-B.AVI,0.756,1
723141,Random,TENNIS-A.AVI,0.95,0
192540,Mental,COAXING-B.AVI,1.441,1
192540,Random,BILLIARD-A.AVI,1.561,0
192540,Random,DRIFTING-A.AVI,0.876,0
192540,Mental,Fishing.AVI,0.995,1
192540,Random,Random mechanical.AVI,1.066,0
164030,Mental,Scaring.AVI,1.171,1
164030,Mental,SEDUCING-B.AVI,0.973,1
164030,Random,STAR-A.AVI,0.896,0
164030,Mental,SURPRISING-B.AVI,0.895,1
164030,Random,TENNIS-A.AVI,1.505,0
346945,Mental,COAXING-B.AVI,1.615,1
346945,Random,BILLIARD-A.AVI,0.776,0
346945,Random,DRIFTING-A.AVI,0.521,0
346945,Mental,Fishing.AVI,2.703,9
346945,Random,Random mechanical.AVI,0.607,0
303119,Mental,COAXING-B.AVI,1.058,1
303119,Random,BILLIARD-A.AVI,2.262,0
303119,Random,DRIFTING-A.AVI,0.905,0
303119,Mental,Fishing.AVI,0.982,9
303119,Random,Random mechanical.AVI,0.706,0
656253,Mental,COAXING-B.AVI,1.898,1
656253,Random,BILLIARD-A.AVI,1.338,0
656253,Random,DRIFTING-A.AVI,1.603,0
656253,Mental,Fishing.AVI,1.043,1
656253,Random,Random mechanical.AVI,1.481,1
825553,Mental,SEDUCING-B.AVI,0.346,1
825553,Random,STAR-A.AVI,0.344,0
825553,Mental,SURPRISING-B.AVI,0.971,1
825553,Random,TENNIS-A.AVI,1.065,9
190031,Mental,COAXING-B.AVI,1.48,1
190031,Random,BILLIARD-A.AVI,1.796,0
190031,Random,DRIFTING-A.AVI,1.699,0
190031,Random,Random mechanical.AVI,1.181,0
183337,Mental,COAXING-B.AVI,2.25,1
183337,Random,DRIFTING-A.AVI,0.834,0
183337,Mental,Fishing.AVI,2.015,1
183337,Random,Random mechanical.AVI,1.217,0
346137,Mental,COAXING-B.AVI,1.781,1
346137,Random,BILLIARD-A.AVI,0.953,0
346137,Random,DRIFTING-A.AVI,0.661,0
346137,Mental,Fishing.AVI,0.812,1
346137,Random,Random mechanical.AVI,1.438,0
135629,Mental,COAXING-B.AVI,1.058,1
135629,Random,BILLIARD-A.AVI,0.998,0
135629,Random,DRIFTING-A.AVI,0.771,0
135629,Mental,Fishing.AVI,1.15,1
135629,Random,Random mechanical.AVI,0.939,9
169444,Mental,Scaring.AVI,1.207,1
169444,Mental,SEDUCING-B.AVI,0.911,1
169444,Random,STAR-A.AVI,1.07,0
169444,Mental,SURPRISING-B.AVI,0.887,1
169444,Random,TENNIS-A.AVI,1.549,0
852455,Mental,Scaring.AVI,0.536,1
852455,Mental,SEDUCING-B.AVI,0.411,1
852455,Random,STAR-A.AVI,0.418,0
852455,Mental,SURPRISING-B.AVI,0.453,1
852455,Random,TENNIS-A.AVI,0.541,0
576255,Mental,Scaring.AVI,0.643,1
576255,Mental,SEDUCING-B.AVI,0.705,1
576255,Random,STAR-A.AVI,1.582,0
576255,Mental,SURPRISING-B.AVI,0.894,1
576255,Random,TENNIS-A.AVI,1.285,0
887373,Mental,Scaring.AVI,1.433,1
887373,Mental,SEDUCING-B.AVI,0.875,1
887373,Random,STAR-A.AVI,0.82,0
887373,Mental,SURPRISING-B.AVI,0.881,1
887373,Random,TENNIS-A.AVI,0.829,9
550439,Mental,COAXING-B.AVI,1.644,1
550439,Random,BILLIARD-A.AVI,0.95,0
550439,Random,DRIFTING-A.AVI,0.95,0
550439,Mental,Fishing.AVI,1.012,1
550439,Random,Random mechanical.AVI,2.22,9
110411,Mental,Scaring.AVI,0.905,1
110411,Mental,SEDUCING-B.AVI,0.857,1
110411,Random,STAR-A.AVI,0.657,0
110411,Mental,SURPRISING-B.AVI,0.824,1
110411,Random,TENNIS-A.AVI,0.864,0
547046,Mental,Scaring.AVI,1.159,1
547046,Mental,SEDUCING-B.AVI,0.954,1
547046,Random,STAR-A.AVI,0.462,0
547046,Mental,SURPRISING-B.AVI,0.738,1
547046,Random,TENNIS-A.AVI,0.863,0
749361,Mental,Scaring.AVI,0.59,1
749361,Mental,SEDUCING-B.AVI,0.439,1
749361,Random,STAR-A.AVI,0.552,9
749361,Mental,SURPRISING-B.AVI,0.474,1
749361,Random,TENNIS-A.AVI,1.063,0
199453,Mental,Scaring.AVI,1.154,1
199453,Mental,SEDUCING-B.AVI,1.09,1
199453,Random,STAR-A.AVI,0.583,0
199453,Mental,SURPRISING-B.AVI,1.09,1
199453,Random,TENNIS-A.AVI,1.15,0
157437,Mental,Scaring.AVI,0.854,1
157437,Mental,SEDUCING-B.AVI,0.827,1
