,sub_ind,respDur_keys,respDur_rt,respAfter_keys,respAfter_rt,movie,date,movie_ind,consistency
187,97.0,right,4.5202,right,0.45299999999999996,STARA7,2021-07-25_09h51.48.620,7.0,1.0
188,97.0,left,6.3547,left,1.1171,SURPRISINGB8,2021-07-25_09h51.48.620,8.0,1.0
189,97.0,right,3.0192,right,1.0494,TENNISA9,2021-07-25_09h51.48.620,9.0,1.0
190,91.0,left,7.7918,left,0.8547,COAXINGB0,2021-07-25_09h53.36.170,0.0,1.0
191,91.0,right,4.123,right,0.8205,BILLIARDA1,2021-07-25_09h53.36.170,1.0,1.0
192,91.0,right,8.6438,right,0.7065,DRIFTINGA2,2021-07-25_09h53.36.170,2.0,1.0
193,91.0,left,9.4088,left,0.9036,FISHING3,2021-07-25_09h53.36.170,3.0,1.0
194,91.0,right,5.7753,right,2.4596,RANDOMMECH4,2021-07-25_09h53.36.170,4.0,1.0
195,91.0,left,17.0819,left,1.0582,SCARING5,2021-07-25_09h53.36.170,5.0,1.0
196,91.0,left,4.8434,left,0.7675,SEDUCINGB6,2021-07-25_09h53.36.170,6.0,1.0
197,91.0,right,5.9756,right,0.4445,STARA7,2021-07-25_09h53.36.170,7.0,1.0
198,91.0,left,6.5436,left,0.8191,SURPRISINGB8,2021-07-25_09h53.36.170,8.0,1.0
199,91.0,left,13.398,down,0.7904,TENNISA9,2021-07-25_09h53.36.170,9.0,0.5
200,2.0,left,6.2099,left,1.3925,COAXINGB0,2021-07-25_14h37.57.562,0.0,1.0
201,2.0,right,5.8621,right,1.2236,BILLIARDA1,2021-07-25_14h37.57.562,1.0,1.0
202,2.0,right,5.7152,right,0.6306,DRIFTINGA2,2021-07-25_14h37.57.562,2.0,1.0
203,2.0,left,13.498,left,1.3669,FISHING3,2021-07-25_14h37.57.562,3.0,1.0
204,2.0,right,3.7951,right,0.7244,RANDOMMECH4,2021-07-25_14h37.57.562,4.0,1.0
205,2.0,left,8.3475,left,0.6473,SCARING5,2021-07-25_14h37.57.562,5.0,1.0
206,2.0,left,4.0032,left,0.3583,SEDUCINGB6,2021-07-25_14h37.57.562,6.0,1.0
207,2.0,right,2.266,right,1.5013,STARA7,2021-07-25_14h37.57.562,7.0,1.0
208,2.0,left,5.3048,left,0.4443,SURPRISINGB8,2021-07-25_14h37.57.562,8.0,1.0
209,2.0,right,9.4164,right,0.6595,TENNISA9,2021-07-25_14h37.57.562,9.0,1.0
210,70.0,left,2.7619,left,1.0376,COAXINGB0,2021-07-25_14h42.47.380,0.0,1.0
211,70.0,right,3.1547,right,0.6987,BILLIARDA1,2021-07-25_14h42.47.380,1.0,1.0
212,70.0,right,5.4732,right,0.9529,DRIFTINGA2,2021-07-25_14h42.47.380,2.0,1.0
213,70.0,left,7.8247,left,0.5112,FISHING3,2021-07-25_14h42.47.380,3.0,1.0
214,70.0,right,8.091000000000001,right,0.7355,RANDOMMECH4,2021-07-25_14h42.47.380,4.0,1.0
215,70.0,left,10.1877,left,0.8574,SCARING5,2021-07-25_14h42.47.380,5.0,1.0
216,70.0,left,5.1992,left,0.7392,SEDUCINGB6,2021-07-25_14h42.47.380,6.0,1.0
217,70.0,right,2.5327,right,0.5194,STARA7,2021-07-25_14h42.47.380,7.0,1.0
218,70.0,left,3.0316,left,1.3537,SURPRISINGB8,2021-07-25_14h42.47.380,8.0,1.0
219,70.0,right,1.3421,right,0.547,TENNISA9,2021-07-25_14h42.47.380,9.0,1.0
220,36.0,left,2.291,left,0.34299999999999997,COAXINGB0,2021-07-25_15h45.40.535,0.0,1.0
221,36.0,right,1.494,right,0.408,BILLIARDA1,2021-07-25_15h45.40.535,1.0,1.0
222,36.0,right,3.531,right,1.39,DRIFTINGA2,2021-07-25_15h45.40.535,2.0,1.0
223,36.0,left,3.775,left,0.508,FISHING3,2021-07-25_15h45.40.535,3.0,1.0
224,36.0,right,2.4419999999999997,left,2.062,RANDOMMECH4,2021-07-25_15h45.40.535,4.0,-1.0
225,36.0,left,3.077,left,0.36,SCARING5,2021-07-25_15h45.40.535,5.0,1.0
226,36.0,left,2.464,left,1.01,SEDUCINGB6,2021-07-25_15h45.40.535,6.0,1.0
227,36.0,right,2.209,down,1.0590000000000002,STARA7,2021-07-25_15h45.40.535,7.0,0.5
228,36.0,left,3.5669999999999997,left,0.528,SURPRISINGB8,2021-07-25_15h45.40.535,8.0,1.0
229,36.0,right,1.82,right,1.192,TENNISA9,2021-07-25_15h45.40.535,9.0,1.0
230,21.0,left,4.0371,left,0.2846,COAXINGB0,2021-07-25_09h53.33.896,0.0,1.0
231,21.0,right,9.3039,right,0.8869,BILLIARDA1,2021-07-25_09h53.33.896,1.0,1.0
232,21.0,right,10.1521,right,0.6038,DRIFTINGA2,2021-07-25_09h53.33.896,2.0,1.0
233,21.0,left,6.5322,left,0.5038,FISHING3,2021-07-25_09h53.33.896,3.0,1.0
234,21.0,right,6.9064,,,RANDOMMECH4,2021-07-25_09h53.33.896,4.0,0.0
235,21.0,left,16.9239,left,0.3663,SCARING5,2021-07-25_09h53.33.896,5.0,1.0
236,21.0,left,3.1514,left,0.5739,SEDUCINGB6,2021-07-25_09h53.33.896,6.0,1.0
237,21.0,right,6.2845,right,0.5522,STARA7,2021-07-25_09h53.33.896,7.0,1.0
238,21.0,left,5.2567,left,0.486,SURPRISINGB8,2021-07-25_09h53.33.896,8.0,1.0
239,21.0,right,3.1513,right,0.5026,TENNISA9,2021-07-25_09h53.33.896,9.0,1.0
240,93.0,left,1.7381,left,0.4509,COAXINGB0,2021-07-25_14h51.11.488,0.0,1.0
241,93.0,right,1.7159,right,0.741,BILLIARDA1,2021-07-25_14h51.11.488,1.0,1.0
242,93.0,right,1.8361,right,0.643,DRIFTINGA2,2021-07-25_14h51.11.488,2.0,1.0
243,93.0,right,6.6584,left,0.6522,FISHING3,2021-07-25_14h51.11.488,3.0,-1.0
244,93.0,right,8.0672,right,0.6596,RANDOMMECH4,2021-07-25_14h51.11.488,4.0,1.0
245,93.0,left,4.4095,left,0.8344,SCARING5,2021-07-25_14h51.11.488,5.0,1.0
246,93.0,left,1.8792,left,0.2687,SEDUCINGB6,2021-07-25_14h51.11.488,6.0,1.0
247,93.0,right,4.3799,right,0.3009,STARA7,2021-07-25_14h51.11.488,7.0,1.0
248,93.0,left,3.0066,left,0.3042,SURPRISINGB8,2021-07-25_14h51.11.488,8.0,1.0
249,93.0,right,4.0654,right,1.3244,TENNISA9,2021-07-25_14h51.11.488,9.0,1.0
250,5.0,left,3.4203,left,0.6405,COAXINGB0,2021-07-25_14h39.26.958,0.0,1.0
251,5.0,right,3.4502,right,0.4847,BILLIARDA1,2021-07-25_14h39.26.958,1.0,1.0
252,5.0,right,3.5929,right,0.5446,DRIFTINGA2,2021-07-25_14h39.26.958,2.0,1.0
253,5.0,left,6.2978,left,0.5885,FISHING3,2021-07-25_14h39.26.958,3.0,1.0
254,5.0,right,1.8216,right,0.8556,RANDOMMECH4,2021-07-25_14h39.26.958,4.0,1.0
255,5.0,right,6.0895,left,0.7916,SCARING5,2021-07-25_14h39.26.958,5.0,-1.0
256,5.0,left,4.6112,left,0.873,SEDUCINGB6,2021-07-25_14h39.26.958,6.0,1.0
257,5.0,right,2.2438,right,0.3288,STARA7,2021-07-25_14h39.26.958,7.0,1.0
258,5.0,left,3.7684,left,0.8633,SURPRISINGB8,2021-07-25_14h39.26.958,8.0,1.0
259,5.0,right,1.7202,right,0.8765,TENNISA9,2021-07-25_14h39.26.958,9.0,1.0
260,18.0,left,1.6219999999999999,left,0.51,COAXINGB0,2021-07-25_09h54.36.428,0.0,1.0
261,18.0,right,1.317,right,0.545,BILLIARDA1,2021-07-25_09h54.36.428,1.0,1.0
262,18.0,right,1.944,right,0.457,DRIFTINGA2,2021-07-25_09h54.36.428,2.0,1.0
263,18.0,left,3.533,left,0.608,FISHING3,2021-07-25_09h54.36.428,3.0,1.0
264,18.0,right,4.96,left,0.64,RANDOMMECH4,2021-07-25_09h54.36.428,4.0,-1.0
265,18.0,left,3.612,left,0.8420000000000001,SCARING5,2021-07-25_09h54.36.428,5.0,1.0
266,18.0,left,3.0469999999999997,left,0.725,SEDUCINGB6,2021-07-25_09h54.36.428,6.0,1.0
267,18.0,right,1.86,right,0.838,STARA7,2021-07-25_09h54.36.428,7.0,1.0
268,18.0,left,3.36,left,1.574,SURPRISINGB8,2021-07-25_09h54.36.428,8.0,1.0
269,18.0,right,2.1180000000000003,,,TENNISA9,2021-07-25_09h54.36.428,9.0,0.0
